,id,c_time,entered_competition_cnt,code_share_cnt,talk_board_cnt,country_code,python_level,ds_level,sms_auth_date
0,5158,2017-05-02 23:58,98,321,503,82,1,1,
1,14446,2018-08-08 18:21,1,0,0,82,1,1,
2,13978,2018-08-08 19:57,1,0,0,82,1,1,
3,18499,2018-08-08 19:59,0,0,0,82,1,1,
4,6467,2018-08-08 20:26,0,0,0,82,1,1,
5,2571,2018-08-08 20:28,0,0,0,82,1,1,
6,5315,2018-08-08 21:07,0,0,0,82,1,1,
7,24494,2018-08-09 9:53,0,0,0,82,1,1,
8,14759,2018-08-10 10:44,0,0,0,82,1,1,
9,21035,2018-08-10 11:43,0,0,0,82,1,1,
10,6473,2018-08-12 13:44,0,0,0,82,1,1,
11,22248,2018-08-13 19:08,0,0,0,82,1,1,
12,12638,2018-08-13 19:13,2,0,0,82,1,1,
13,18939,2018-08-13 19:21,1,0,0,82,1,1,
14,20782,2018-08-13 19:57,0,0,0,82,1,1,
15,4634,2018-08-13 21:07,0,0,0,82,1,1,
16,2996,2018-08-13 21:19,10,0,0,82,1,1,
17,18886,2018-08-13 22:13,0,0,0,82,1,1,
18,11727,2018-08-14 12:22,0,0,0,82,1,1,
19,3909,2018-08-14 15:01,0,0,0,82,1,1,
20,689,2018-08-14 15:51,0,0,0,82,1,1,
21,11370,2018-08-14 16:28,2,0,0,82,1,1,
22,23406,2018-08-14 16:34,4,0,0,82,1,1,
23,14915,2018-08-14 16:45,1,0,0,82,1,1,
24,20788,2018-08-14 17:02,0,0,0,82,1,1,
25,19927,2018-08-14 17:45,0,0,0,82,1,1,
26,8940,2018-08-14 18:36,2,0,0,82,1,1,
27,10680,2018-08-14 18:43,0,0,0,82,1,1,
28,23906,2018-08-14 18:47,1,0,0,82,1,1,
29,22554,2018-08-14 19:06,1,0,0,82,1,1,
30,10198,2018-08-14 19:13,0,0,0,82,1,1,
31,5935,2018-08-14 19:13,0,0,0,82,1,1,
32,15965,2018-08-14 19:18,0,0,0,82,1,1,
33,15005,2018-08-14 19:23,0,0,0,82,1,1,
34,19818,2018-08-14 19:25,0,0,0,82,1,1,
35,6196,2018-08-14 19:46,0,0,0,82,1,1,
36,21648,2018-08-14 19:47,0,0,0,82,1,1,
37,17662,2018-08-14 19:57,0,0,0,82,1,1,
38,19555,2018-08-14 20:00,0,0,0,82,1,1,
39,9556,2018-08-14 20:07,0,0,0,82,1,1,
40,21757,2018-08-14 20:23,0,0,0,82,1,1,
41,92,2018-08-14 20:28,0,0,0,82,1,1,
42,13328,2018-08-14 20:33,0,0,0,82,1,1,
43,19636,2018-08-14 20:34,0,0,0,82,1,1,
44,15486,2018-08-14 20:44,0,0,0,82,1,1,
45,8345,2018-08-14 20:44,0,0,0,82,1,1,
46,16880,2018-08-14 20:52,0,0,0,82,1,1,
47,14241,2018-08-14 21:02,0,0,0,82,1,1,
48,12174,2018-08-14 21:07,0,0,0,82,1,1,
49,9870,2018-08-14 21:07,0,0,0,82,1,1,
50,6498,2018-08-14 21:26,0,0,0,82,1,1,
51,20149,2018-08-14 22:07,0,0,0,82,1,1,
52,16054,2018-08-14 22:16,0,0,0,82,1,1,
53,15671,2018-08-14 22:32,0,0,0,82,1,1,
54,5043,2018-08-14 22:53,0,0,0,82,1,1,
